epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,312.958,1.12497,0.89928,1.00201,0.76532,0.73008,0.80072,0.47967,1.42012,0.82986,1.29778,0.0005941,0.0005941,0.0005941
43,320.396,1.05897,1.03997,0.93935,0.75342,0.73771,0.79778,0.48426,1.41877,0.79658,1.21775,0.0005842,0.0005842,0.0005842
44,327.86,1.19348,0.9568,0.97799,0.72289,0.7246,0.746,0.45978,1.3466,0.82746,1.19815,0.0005743,0.0005743,0.0005743
45,335.313,1.11369,0.94032,0.99169,0.74516,0.74267,0.75915,0.46863,1.39583,0.78032,1.27325,0.0005644,0.0005644,0.0005644
46,342.782,1.15349,0.92057,1.00091,0.74134,0.92393,0.82016,0.48072,1.37733,0.77795,1.25668,0.0005545,0.0005545,0.0005545
47,350.237,1.33444,1.15973,1.02713,0.74406,0.90678,0.82137,0.48503,1.36105,0.77828,1.25971,0.0005446,0.0005446,0.0005446
48,357.69,1.14902,0.90659,0.98844,0.74018,0.71732,0.79601,0.49385,1.40996,0.80589,1.31327,0.0005347,0.0005347,0.0005347
49,365.146,1.06466,0.85119,0.95851,0.76575,0.87564,0.82627,0.50084,1.42403,0.80092,1.37362,0.0005248,0.0005248,0.0005248
50,372.599,1.03178,0.93518,0.92241,0.78069,0.86603,0.8319,0.5101,1.36736,0.76791,1.28174,0.0005149,0.0005149,0.0005149
51,380.049,1.09045,0.84586,0.96593,0.74723,0.89435,0.83181,0.48881,1.37387,0.75946,1.22156,0.000505,0.000505,0.000505
52,387.52,1.07576,0.82846,0.98809,0.7318,0.84035,0.81839,0.4895,1.42529,0.8525,1.2946,0.0004951,0.0004951,0.0004951
53,394.981,1.14179,0.82523,1.00004,0.70868,0.87105,0.80903,0.48568,1.42898,0.83198,1.3083,0.0004852,0.0004852,0.0004852
54,402.482,1.13284,0.80288,0.99013,0.73668,0.88289,0.81794,0.46511,1.42431,0.77123,1.34881,0.0004753,0.0004753,0.0004753
55,409.939,1.12996,0.82632,0.98369,0.712,0.88093,0.81656,0.47862,1.42274,0.74585,1.33763,0.0004654,0.0004654,0.0004654
56,417.401,1.08023,0.77703,1.01348,0.74412,0.9011,0.83723,0.48765,1.38295,0.71172,1.29502,0.0004555,0.0004555,0.0004555
57,424.87,1.10495,0.81155,0.97016,0.76092,0.71904,0.78523,0.50885,1.38038,0.72866,1.29386,0.0004456,0.0004456,0.0004456
58,432.322,1.08837,0.8301,0.98755,0.77731,0.86761,0.83072,0.47882,1.48336,0.76228,1.28629,0.0004357,0.0004357,0.0004357
59,439.776,1.07672,0.81357,0.98517,0.73667,0.93062,0.83757,0.46845,1.51825,0.76353,1.30134,0.0004258,0.0004258,0.0004258
60,447.239,1.05913,0.77831,0.96298,0.75377,0.86801,0.8259,0.4791,1.48996,0.78498,1.3057,0.0004159,0.0004159,0.0004159
61,454.69,1.06642,0.80697,0.97049,0.7536,0.88622,0.82647,0.5063,1.44781,0.7543,1.29408,0.000406,0.000406,0.000406
62,462.178,0.99519,0.7628,0.9324,0.74311,0.89493,0.82561,0.50281,1.44559,0.73178,1.33137,0.0003961,0.0003961,0.0003961
63,469.651,1.05341,0.76091,0.98124,0.75097,0.89629,0.81998,0.50109,1.43293,0.7449,1.31782,0.0003862,0.0003862,0.0003862
64,477.121,1.02085,0.76494,0.94887,0.7543,0.90026,0.82542,0.49761,1.40791,0.72077,1.32349,0.0003763,0.0003763,0.0003763
65,484.581,1.04905,0.7358,0.98061,0.73613,0.90686,0.82272,0.50241,1.43818,0.72096,1.33615,0.0003664,0.0003664,0.0003664
66,492.056,0.94788,0.77266,0.90289,0.73747,0.88445,0.81222,0.49433,1.45085,0.72406,1.36419,0.0003565,0.0003565,0.0003565
67,499.514,1.03788,0.7711,0.96491,0.73635,0.89891,0.81551,0.48474,1.49164,0.74893,1.36232,0.0003466,0.0003466,0.0003466
68,506.974,1.01723,0.71558,0.9442,0.74087,0.704,0.78972,0.47043,1.47268,0.71584,1.34126,0.0003367,0.0003367,0.0003367
69,514.474,1.03623,0.72615,0.97449,0.73554,0.71725,0.79072,0.49638,1.46561,0.70876,1.33381,0.0003268,0.0003268,0.0003268
70,521.965,1.0379,0.69406,0.95649,0.74823,0.69608,0.79084,0.49367,1.43608,0.70506,1.32822,0.0003169,0.0003169,0.0003169
71,529.432,1.00047,0.71372,0.9532,0.72114,0.90533,0.82447,0.49444,1.40851,0.72257,1.34148,0.000307,0.000307,0.000307
72,536.914,0.9824,0.6839,0.94493,0.7528,0.85574,0.8246,0.51477,1.33181,0.69913,1.28852,0.0002971,0.0002971,0.0002971
73,544.361,1.15338,0.80236,1.01626,0.73515,0.91677,0.82242,0.50846,1.35999,0.69883,1.30811,0.0002872,0.0002872,0.0002872
74,551.828,1.00685,0.70616,0.95291,0.74107,0.902,0.82334,0.50883,1.38806,0.69614,1.3241,0.0002773,0.0002773,0.0002773
75,559.282,0.95252,0.68946,0.94404,0.73908,0.91017,0.82606,0.49457,1.38835,0.68851,1.31487,0.0002674,0.0002674,0.0002674
76,566.752,1.0328,0.72051,0.96783,0.75178,0.90716,0.82619,0.50607,1.37684,0.67565,1.28163,0.0002575,0.0002575,0.0002575
77,574.207,0.98706,0.69768,0.9609,0.75965,0.88342,0.82804,0.49335,1.39414,0.69414,1.29473,0.0002476,0.0002476,0.0002476
